date,municipality,mining_active,pm25,pm10,no2,so2,aqi,aqi_category,wind_speed_kmh,wind_direction,temperature_c,humidity_pct
2023-01-01,Carrascal,True,56.2,72.5,68.9,18.5,150,Unhealthy,6.7,ENE,26.7,71.5
2023-01-02,Carrascal,True,53.0,164.3,77.2,36.0,144,Unhealthy for Sensitive Groups,10.4,ENE,25.3,84.3
2023-01-03,Carrascal,True,89.5,124.9,78.3,53.8,168,Unhealthy,9.1,NE,29.7,77.5
2023-01-04,Carrascal,True,51.2,104.1,85.9,39.8,140,Unhealthy for Sensitive Groups,5.4,ENE,26.7,90.9
2023-01-05,Carrascal,True,60.7,107.6,42.5,40.0,153,Unhealthy,9.8,NE,24.2,72.3
2023-01-06,Carrascal,True,92.2,157.9,33.7,58.3,169,Unhealthy,11.8,NNE,30.8,85.3
2023-01-07,Carrascal,True,36.9,73.6,35.4,50.5,104,Unhealthy for Sensitive Groups,8.8,NNE,29.2,68.1
2023-01-08,Carrascal,True,66.2,132.5,34.4,48.6,156,Unhealthy,13.5,ENE,24.6,85.8
2023-01-09,Carrascal,True,61.0,107.1,53.0,48.5,153,Unhealthy,11.2,ENE,29.5,84.9
2023-01-10,Carrascal,True,56.4,117.9,68.6,51.8,151,Unhealthy,11.3,NNE,28.2,89.4
2023-01-11,Carrascal,True,84.9,86.7,87.0,43.1,166,Unhealthy,8.6,NNE,26.7,68.7
2023-01-12,Carrascal,True,67.3,79.7,54.8,56.5,156,Unhealthy,11.3,NNE,28.1,70.2
2023-01-13,Carrascal,True,71.5,128.0,36.5,44.3,158,Unhealthy,10.0,NNE,30.6,88.1
2023-01-14,Carrascal,True,72.6,103.3,67.9,25.5,159,Unhealthy,9.4,ENE,31.0,70.1
2023-01-15,Carrascal,True,102.1,118.9,52.0,30.4,175,Unhealthy,11.3,NNE,32.6,71.4
2023-01-16,Carrascal,True,78.3,109.1,94.7,30.1,162,Unhealthy,7.3,NE,30.1,67.1
2023-01-17,Carrascal,True,48.9,153.7,30.5,59.7,134,Unhealthy for Sensitive Groups,7.1,ENE,30.0,84.6
2023-01-18,Carrascal,True,86.4,136.0,64.7,29.3,166,Unhealthy,11.2,NE,29.6,87.0
2023-01-19,Carrascal,True,45.7,124.7,41.5,30.8,126,Unhealthy for Sensitive Groups,13.3,NE,32.2,86.1
2023-01-20,Carrascal,True,47.4,120.8,30.7,21.6,130,Unhealthy for Sensitive Groups,6.1,ENE,30.7,76.0
2023-01-21,Carrascal,True,71.4,94.3,60.8,47.9,158,Unhealthy,12.5,NNE,31.3,85.9
2023-01-22,Carrascal,True,37.3,123.8,34.9,30.5,105,Unhealthy for Sensitive Groups,10.1,NE,24.7,92.9
2023-01-23,Carrascal,True,93.7,170.8,45.6,50.6,170,Unhealthy,9.8,ENE,29.7,86.7
2023-01-24,Carrascal,True,52.4,194.6,38.3,39.3,142,Unhealthy for Sensitive Groups,13.8,ENE,27.6,86.5
2023-01-25,Carrascal,True,95.4,105.3,57.0,46.3,171,Unhealthy,6.8,NNE,31.1,91.3
2023-01-26,Carrascal,True,92.3,128.2,51.8,33.3,169,Unhealthy,7.0,NNE,26.2,87.9
2023-01-27,Carrascal,True,45.2,75.2,62.9,43.0,125,Unhealthy for Sensitive Groups,8.8,NE,31.9,73.8
2023-01-28,Carrascal,True,102.2,146.2,52.0,49.6,175,Unhealthy,10.0,ENE,27.3,75.3
2023-01-29,Carrascal,True,64.0,125.8,64.5,21.0,155,Unhealthy,12.2,ENE,31.9,86.8
